DataStream, TIMESTAMP_start, TIMESTAMP_end, parameter, colnumber, flag, flagcol, notes
BVR, 2020-06-18 17:50:00 EST, 2020-10-05 12:00:00 EST, wtr_11, 15, 1, 57, the bottom three sensors were not programed to be read into the datafile
BVR, 2020-06-18 17:50:00 EST, 2020-10-05 12:00:00 EST, wtr_12, 16, 1, 58, the bottom three sensors were not programed to be read into the datafile
BVR, 2020-06-18 17:50:00 EST, 2020-10-05 12:00:00 EST, wtr_13, 17, 1, 59, the bottom three sensors were not programed to be read into the datafile
BVR, 2020-06-25 12:50:00 EST, 2020-06-25 14:00:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2020-07-02 12:50:00 EST, 2020-07-02 13:20:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2020-07-11 09:00:00 EST, 2020-07-11 09:20:00 EST, wtr_5, 9, 5, 51, questionable temperature values
BVR, 2020-07-13 02:20:00 EST, 2020-07-13 02:40:00 EST, wtr_5, 9, 5, 51, questionable temperature values
BVR, 2020-07-23 12:12:00 EST, 2020-07-23 12:21:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2020-08-01 12:40:00 EST, 2020-08-01 12:50:00 EST, EXO*, c(24:44), 5, c(66:84), questionable EXO values
BVR, 2020-08-06 11:29:00 EST, 2020-08-06 11:41:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2020-08-13 10:40:00 EST, 2020-08-13 11:20:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2020-08-17 10:20:00 EST, 2020-08-17 11:20:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2020-08-20 09:40:00 EST, 2020-08-20 10:00:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2020-08-26 11:25:00 EST, 2020-08-26 11:40:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2020-09-09 09:30:00 EST, 2020-09-09 10:20:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning 
BVR, 2020-09-16 11:15:00 EST, 2020-09-16 13:10:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning and calibrated DO sensors and Depth to current air pressure
BVR, 2020-10-01 15:20:00 EST, 2020-10-01 17:00:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2020-10-05 09:10:00 EST, 2020-10-05 11:50:00 EST, All_BVR, c(1:46), 1, c(47:86), reprogramed the data logger to read the bottom three sensors so no data recorded
BVR, 2020-10-14 10:55:00 EST, 2020-10-14 11:10:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2020-10-22 08:50:00 EST, 2020-10-22 9:20:00 EST, RDO_6, c(18:19), 5, c(60:61), questionable DO values with no one at the reservoir
BVR, 2020-10-26 12:10:00 EST, 2020-10-26 13:50:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning and calibrated DO sensor
BVR, 2020-10-29 10:10:00 EST, 2020-10-29 12:00:00 EST, c(EXOChla:EXOBGAPC), c(32:35), 2, c(72:75), high chla and phyco values removed
BVR, 2020-10-26 12:10:00 EST, 2020-10-30 09:40:00 EST, Lvl_psi, 45, 7, 85, wire into the data logger came loose and did not record data
BVR, 2020-10-26 12:10:00 EST, 2020-10-30 09:40:00 EST, wtr_pt_13, 46, 7, 86, wire into the data logger came loose and did not record data
BVR, 2020-11-10 11:28:00 EST, 2020-11-10 12:00:00 EST, All_BVR, c(1:46), 1, c(46:86), sensor string up for cleaning 
BVR, 2020-11-12 20:30:00 EST, 2020-11-12 20:40:00 EST, Cond*, c(27:29), 5, c(67:69), questionable high values on conductivity sensor
BVR, 2020-10-22 09:00:00 EST, 2020-12-02 11:30:00 EST, wtr_1, 5, 1, 47, no thermoster connected took thermoster from BVR to replace a broken one at FCR
BVR, 2020-12-28 03:15:00 EST, 2020-12-28 03:25:00 EST, c(EXOChla:EXOBGAPC), c(32:35), 2, c(72:75), high chla and phyco values removed
BVR, 2021-01-12 04:10:00 EST, 2021-01-12 04:10:00 EST, Lvl_psi, 45, 5, 85, low psi value 
BVR, 2021-01-28 08:00:00 EST, 2021-01-28 08:00:00 EST, Lvl_psi, 45, 5, 85, low psi value
BVR, 2021-02-03 06:30:00 EST, 2021-02-03 06:40:00 EST, Lvl_psi, 45, 5, 85, low psi value
BVR, 2021-03-08 11:28:00 EST, 2021-03-08 13:00:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning and calibrated DO sensors. EXO Buoy was underwater so repositioned it
BVR, 2021-04-05 11:20:00 EST, 2021-04-05 13:20:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning and calibrated fDOM and depth sensor and moved thermistors so pressure sensor is at the bottom and stretched out top thermistor
