"TOA5","CR6Series_BVRplatform","CR6","13030","CR6.Std.10.02 CR6-WIFI.05","CPU:BVR_Platform_20210531_bjorn.CR6","59555","BVRplatform"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","doobs_6","dosat_6","dotemp_6","doobs_13","dosat_13","dotemp_13","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","Turbidity_FNU_1","TSS_mgL_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_13"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-31 09:10:00",0,14.22,25.65,15.51867,16.02423,17.31494,16.88989,16.71716,18.2517,18.19396,16.67852,14.52218,15.5039,14.87686,14.26818,15.10259,9.73868,102.9458,18.03481,10.38512,98.65934,13.04416,210531,100747,20.777,22.46,24.43,15.88,98.45,8.82,0.61,2.5,0.2,0.22,2.08,5.87,1.48,0,-0.34,-0.24,4.29,12.66,1.18,-0.0066524,15.9311
"2021-05-31 09:20:00",1,14.23,23.89,16.87084,16.23071,16.17239,16.32427,20.70803,20.56329,20.58459,19.28732,15.48605,11.85266,10.24044,9.517542,9.035242,9.24827,102.5172,20.39486,0.052103,0.460167,9.86891,210531,101747,14.186,0.15,0.19,0.12,99.56,10.24,-0.5,-1.95,-0.86,-0.83,-0.15,-0.8,2.85,0,-0.24,-0.172,4.33,12.69,1.18,12.77852,9.271989
"2021-05-31 09:30:00",2,14.21,22.92,15.92275,15.99069,20.61004,20.52719,20.65389,20.17379,16.21227,12.72787,10.83224,9.81756,9.210688,8.915522,8.744074,9.4649,104.4796,20.18292,-0.011376,-0.09851,9.03957,210531,102747,20.757,24.18,26.31,17.1,97.98,8.78,0.33,1.37,0.06,0.08,2.16,6.12,0.41,0,1.92,1.356,4.33,12.7,1.18,15.4199,8.593338
"2021-05-31 09:40:00",3,14.21,22.56,16.75418,17.00253,20.82934,20.75387,20.69134,20.1878,16.09463,12.66607,10.53338,9.685694,9.081415,8.776148,8.595514,9.35891,103.4706,20.26157,-0.004199,-0.036102,8.746422,210531,103747,20.818,24.17,26.27,17.07,98.11,8.78,0.33,1.37,0.03,0.06,2.12,6,0.44,0,1.88,1.323,4.34,12.7,1.18,15.42013,8.591506
"2021-05-31 09:50:00",4,14.22,22.45,15.98699,16.46127,20.84509,20.78961,20.68737,20.20294,16.13552,12.75601,10.50851,9.657862,9.044733,8.732477,8.535242,9.55804,105.8118,20.32836,-0.011022,-0.094556,8.651391,210531,104747,20.826,24.17,26.27,17.07,98.19,8.78,0.32,1.32,0.03,0.06,2.13,6.02,0.44,0,1.86,1.31,4.34,12.67,1.19,15.41864,8.594677
"2021-05-31 10:00:00",5,14.22,22.39,16.73455,17.28781,20.91497,20.87359,20.72018,20.27416,16.09191,12.6448,10.57376,9.66604,9.03631,8.725183,8.534204,9.45676,104.6922,20.3291,-0.052812,-0.452875,8.634728,210531,105747,20.888,24.2,26.26,17.07,98.27,8.78,0.27,1.13,0.03,0.05,2.12,5.99,0.34,0,1.85,1.304,4.35,12.69,1.18,15.42101,8.607303
"2021-05-31 10:10:00",6,14.22,22.65,16.73928,18.02871,21.04202,20.92953,20.69576,20.22506,16.07742,12.68536,10.61697,9.726038,9.034998,8.725428,8.53216,9.76225,107.9299,20.26157,-0.065594,-0.562223,8.61583,210531,110747,20.916,24.23,26.28,17.08,98.65,8.81,0.28,1.15,0.02,0.04,2.1,5.93,0.42,0,1.84,1.298,4.35,12.69,1.19,15.42124,8.608661
"2021-05-31 10:20:00",7,14.16,22.76,16.91656,17.4349,21.07186,20.96209,20.71682,20.0986,16.26296,12.91873,10.62396,9.78396,9.085993,8.741785,8.533777,9.84475,108.6025,20.15027,-0.068219,-0.584757,8.617898,210531,111747,20.935,24.24,26.28,17.08,98.68,8.81,0.3,1.24,0.03,0.06,2.09,5.92,0.47,0,1.84,1.297,4.35,12.68,1.18,15.4193,8.615283
