"TOA5","CR6Series_BVRplatform","CR6","13030","CR6.Std.10.02 CR6-WIFI.05","CPU:BVR_Platform_20210531_bjorn.CR6","40933","bvre-waterquality"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","doobs_6","dosat_6","dotemp_6","doobs_13","dosat_13","dotemp_13","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","Turbidity_FNU_1","TSS_mgL_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_13"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-06-10 15:00:00",1,14.24,26.56,24.90981,25.45388,26.47607,25.86535,24.36892,21.89288,17.15225,13.01888,11.27816,9.971308,9.070154,8.80987,8.587091,10.01295,114.4226,21.95458,-0.069868,-0.599856,8.684884,210610,155850,25.767,27.17,26.77,17.4,108.68,8.85,0.21,0.89,0.01,0.04,2.24,6.36,0.7,0,1.29,0.908,4.34,12.54,1.18,15.47971,8.675941
"2021-06-10 15:10:00",2,13.91,26.69,26.4934,25.61004,26.51113,25.8879,24.40243,21.90335,16.98245,13.02737,11.41192,9.894739,9.063684,8.791498,8.595057,10.00967,114.2908,21.91171,-0.069727,-0.598619,8.682808,210610,160850,25.822,27.23,26.8,17.42,109.76,8.93,0.23,0.96,0.05,0.07,2.2,6.25,0.62,0,1.28,0.906,4.34,12.22,1.17,15.48019,8.675532
"2021-06-10 15:20:00",3,14,26.99,26.90618,25.94784,26.5393,25.96685,24.46795,21.91375,16.92687,13.09176,11.39523,9.836664,9.052423,8.786951,8.594568,9.99352,114.241,21.97289,-0.070366,-0.604127,8.684403,210610,161850,25.889,27.25,26.8,17.42,110.16,8.96,0.25,1.06,0.01,0.03,2.19,6.21,0.59,0,1.28,0.903,4.35,12.79,1.18,15.47995,8.675737
"2021-06-10 15:30:00",4,13.86,27.3,28.08135,24.99282,26.57159,26.05343,24.55099,22.00451,16.92663,13.16574,11.36242,9.830072,9.056665,8.778101,8.59469,9.98982,114.2577,21.99969,-0.069891,-0.600043,8.68425,210610,162850,25.962,27.25,26.76,17.39,109.19,8.87,0.23,0.97,0.02,0.04,2.16,6.12,0.65,0,1.28,0.901,4.36,12.71,1.18,15.48034,8.675499
"2021-06-10 15:40:00",5,13.86,27.61,28.48184,26.24276,26.58068,26.04382,24.68234,22.09515,16.95953,13.30929,11.39602,9.85943,9.016321,8.768854,8.577478,9.88236,113.1363,22.04913,-0.069764,-0.598745,8.669327,210610,163850,25.95,27.26,26.77,17.4,109.97,8.93,0.21,0.91,0.02,0.04,2.17,6.15,0.68,0,1.27,0.896,4.36,12.5,1.18,15.48089,8.662645
"2021-06-10 15:50:00",6,13.83,27.86,29.80401,25.63558,26.57391,26.05728,24.78375,22.20864,16.94485,13.46459,11.46673,9.871241,9.038843,8.771814,8.581873,9.87328,113.1995,22.12597,-0.070225,-0.602686,8.668702,210610,164850,25.981,27.27,26.77,17.4,109.62,8.9,0.22,0.93,0,0.02,2.16,6.13,0.62,0,1.27,0.894,4.36,12.61,1.18,15.48021,8.663547
"2021-06-10 16:00:00",7,14.24,28.12,30.33981,28.02447,26.5805,26.07043,24.86056,22.11941,16.90283,13.49157,11.52127,9.835413,9.047144,8.76803,8.578455,9.77265,112.0136,22.11108,-0.070037,-0.60114,8.672974,210610,165850,26.036,27.28,26.75,17.39,109.13,8.85,0.17,0.73,0.02,0.04,2.15,6.09,0.74,0,1.26,0.892,4.36,12.83,1.18,15.47899,8.667649
"2021-06-10 16:10:00",8,13.79,28.38,29.75195,25.54479,26.46536,26.08361,24.91958,21.94833,16.88854,13.44726,11.52099,9.824854,9.013849,8.768671,8.591944,9.95868,114.0979,22.08918,-0.070098,-0.60188,8.68837,210610,170850,25.985,27.28,26.78,17.4,109.51,8.89,0.18,0.79,0.02,0.04,2.17,6.16,0.67,0,1.26,0.891,4.36,12.57,1.17,15.47973,8.683401
