Reservoir,Site,DateTime,ThermistorTemp_C_1,ThermistorTemp_C_2,ThermistorTemp_C_3,ThermistorTemp_C_4,ThermistorTemp_C_5,ThermistorTemp_C_6,ThermistorTemp_C_7,ThermistorTemp_C_8,ThermistorTemp_C_9,ThermistorTemp_C_10,ThermistorTemp_C_11,ThermistorTemp_C_12,ThermistorTemp_C_13,RDO_mgL_6,RDOsat_percent_6,RDOTemp_C_6,RDO_mgL_13,RDOsat_percent_13,RDOTemp_C_13,EXOTemp_C_1.5,EXOCond_uScm_1.5,EXOSpCond_uScm_1.5,EXOTDS_mgL_1.5,EXODOsat_percent_1.5,EXODO_mgL_1.5,EXOChla_RFU_1.5,EXOChla_ugL_1.5,EXOBGAPC_RFU_1.5,EXOBGAPC_ugL_1.5,EXOfDOM_RFU_1.5,EXOfDOM_QSU_1.5,EXOTurbidity_FNU_1.5,EXOPressure_psi,EXODepth_m,EXOBattery_V,EXOCablepower_V,EXOWiper_V,LvlPressure_psi_13,Depth_m_13,LvlTemp_C_13,RECORD,CR6Battery_V,CR6Panel_Temp_C,Flag_ThermistorTemp_C_1,Flag_ThermistorTemp_C_2,Flag_ThermistorTemp_C_3,Flag_ThermistorTemp_C_4,Flag_ThermistorTemp_C_5,Flag_ThermistorTemp_C_6,Flag_ThermistorTemp_C_7,Flag_ThermistorTemp_C_8,Flag_ThermistorTemp_C_9,Flag_ThermistorTemp_C_10,Flag_ThermistorTemp_C_11,Flag_ThermistorTemp_C_12,Flag_ThermistorTemp_C_13,Flag_RDO_mgL_6,Flag_RDOsat_percent_6,Flag_RDOTemp_C_6,Flag_RDO_mgL_13,Flag_RDOsat_percent_13,Flag_RDOTemp_C_13,Flag_EXOTemp_C_1.5,Flag_EXOCond_uScm_1.5,Flag_EXOSpCond_uScm_1.5,Flag_EXOTDS_mgL_1.5,Flag_EXODOsat_percent_1.5,Flag_EXODO_mgL_1.5,Flag_EXOChla_RFU_1.5,Flag_EXOChla_ugL_1.5,Flag_EXOBGAPC_RFU_1.5,Flag_EXOBGAPC_ugL_1.5,Flag_EXOfDOM_RFU_1.5,Flag_EXOfDOM_QSU_1.5,Flag_EXOTurbidity_FNU_1.5,Flag_EXOPressure_psi,Flag_EXODepth_m,Flag_EXOBattery_V,Flag_EXOCablepower_V,Flag_EXOWiper_V,Flag_LvlPressure_psi_13,Flag_LvlTemp_C_13
BVR,50,2023-01-01 00:00:00,NA,NA,NA,NA,2.028284,2.248834,2.187646,2.346338,2.412683,2.610162,2.822381,3.005579,3.395013,13.21171,96.02709,2.188942,6.415643,48.10676,3.345993,2.276,19.03,33.63,21.86,96.33,13.22,1.92,5.46,2.99,1.99,4.95,14.74,5.97,3.1,2.186,4.04,11.23,1.18,12.64689,8.9103663495,3.412992,71233,12.77,14.06,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 00:10:00,NA,NA,NA,NA,2.046411,2.221063,2.197473,2.341241,2.405511,2.611444,2.832117,3.010675,3.376794,13.22957,96.15789,2.189301,6.578082,49.32287,3.344482,2.274,19.04,33.64,21.87,96.25,13.21,1.6,4.43,3.08,2.1,4.93,14.7,6.07,3.1,2.183,4.04,11.23,1.2,12.64733,8.9106763515,3.399166,71234,12.81,14.08,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 00:20:00,NA,NA,NA,NA,2.051172,2.245782,2.204156,2.33819,2.405969,2.60943,2.842187,3.022241,3.368066,13.19183,95.88214,2.188782,6.967774,52.21535,3.323372,2.277,19.31,34.12,22.18,95.96,13.17,1.32,3.51,2.88,1.87,5.03,14.99,5.8,3.1,2.185,4.04,11.23,1.13,12.65001,8.9125645455,3.388849,71235,12.77,14.05,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 00:30:00,NA,NA,NA,NA,2.050989,2.224969,2.212091,2.335474,2.406763,2.607233,2.843713,3.027673,3.365564,13.22936,96.15266,2.187912,7.005819,52.50045,3.323372,2.285,19.02,33.6,21.84,95.88,13.16,1.48,4.02,2.97,1.97,4.96,14.77,6.15,3.1,2.183,4.04,10.86,1.2,12.65122,8.913417051,3.387744,71236,12.64,14.16,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 00:40:00,NA,NA,NA,NA,2.060388,2.200006,2.210474,2.330682,2.409204,2.607904,2.832941,3.02453,3.378686,13.22706,96.13915,2.189102,7.049499,52.84129,3.332901,2.273,19.06,33.67,21.89,96.08,13.19,1.23,3.23,3.07,2.08,4.94,14.71,6.06,3.1,2.186,4.04,11.19,1.2,12.6489,8.911782495,3.402189,71237,12.76,14.43,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 00:50:00,NA,NA,NA,NA,2.068414,2.191888,2.197931,2.321802,2.389246,2.597925,2.828638,3.005304,3.408441,13.24442,96.26085,2.187393,6.600642,49.49487,3.34668,2.264,19.03,33.65,21.87,96.23,13.21,1.41,3.79,2.98,1.98,4.94,14.71,6.12,3.1,2.184,4.04,11.23,1.18,12.649,8.91185295,3.422747,71238,12.8,14.51,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 01:00:00,NA,NA,NA,NA,2.070398,2.211816,2.206018,2.323877,2.393945,2.603784,2.823267,2.998437,3.435876,13.21885,96.07354,2.186867,6.357921,47.70716,3.3722,2.274,19.32,34.13,22.19,96.25,13.21,1.7,4.74,3.13,2.14,5.06,15.08,5.85,3.1,2.185,4.04,11.25,1.12,12.64785,8.9110427175,3.445313,71239,12.81,14.54,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 01:10:00,NA,NA,NA,NA,2.059289,2.191217,2.191492,2.313776,2.390527,2.604517,2.81698,2.994165,3.436639,13.25394,96.32088,2.183922,6.205094,46.57735,3.385796,2.259,19.02,33.63,21.86,96.35,13.23,4.86,14.93,3.16,2.18,4.97,14.81,6.15,3.11,2.187,4.04,11.23,1.2,12.65267,8.9144386485,3.458021,71240,12.79,14.51,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 01:20:00,NA,NA,NA,NA,2.054193,2.180902,2.193719,2.310113,2.391595,2.622583,2.826196,3.013025,3.414789,13.26267,96.3743,2.180122,6.085519,45.69384,3.397362,2.253,19.29,34.12,22.17,96.3,13.23,6.14,19.07,3.08,2.09,5.05,15.03,6.1,3.11,2.186,4.04,11.21,1.11,12.65127,8.9134522785,3.453695,71241,12.8,14.43,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 01:30:00,NA,NA,NA,NA,2.059503,2.193262,2.198267,2.307275,2.386499,2.619592,2.819513,3.021814,3.399896,13.2762,96.46696,2.177872,6.036085,45.30832,3.385468,2.263,19.01,33.6,21.84,96.44,13.24,5.15,15.86,3.09,2.1,4.94,14.72,6.24,3.1,2.184,4.04,11.22,1.18,12.64882,8.911726131,3.436895,71242,12.8,14.33,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
